,similarity_scores_85
Electronic Safe,['Electronic Safe']
Free WiFi Internet Connectivity,"['Free WiFi Internet Connectivity', 'Internet / Wifi', 'WiFi Internet Connectivity', 'Broadband Internet Connection', 'Chargeable WiFi Internet Connectivity', 'Free WiFi Internet', 'High-speed broadband and wireless Internet access', 'Internet access', 'WiFi Internet']"
Theatre,['Theatre']
Sofa Unit,['Sofa Unit']
Free Internet,"['Free Internet', 'Free WiFi Internet', 'Free high-speed Internet access']"
Shared bathroom,"['Shared bathroom', 'Shared/communal kitchen', 'Shared bathroom with sink in room']"
Wifi EnabledFree Wi-Fi,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-fi', 'Wi Fi Internet', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi']"
24 Hour Doctor On Call.,"['24 Hour Doctor On Call.', '24 Hour Doctor On Call.Hot/cold Water', 'Doctor on Call', 'Doctor on call']"
Music System,['Music System']
Ski equipment hire on site,['Ski equipment hire on site']
46 Sq,"['46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
breakfast and one way airport transfer,['breakfast and one way airport transfer']
Room Service from  7:00 to  9:30,"['Room Service from  7:00 to  9:30', 'Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Service 6 Am - 12 Night', 'Room Service from 7:00 to 9:30']"
Free local calls,"['Free local calls', 'Free international calls']"
Free parking nearby,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Parking nearby', 'Free garage parking', 'Free valet parking', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (nearby)', 'Parking (free)']"
Audiovisual equipment,['Audiovisual equipment']
TVTelephone,[]
TVTea/Coffee Maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee Maker']"
Room Size:26 sq m(279 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Electronic check-out,['Electronic check-out']
In-room safe (laptop compatible),['In-room safe (laptop compatible)']
Business Class Room,['Business Class Room']
Laser Light Show With Music,['Laser Light Show With Music']
Room Size:116 sq m(1248 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Continental Breakfast,"['Continental Breakfast', 'Breakfast Buffet', 'Breakfast buffet', 'breakfast', 'Continental breakfast']"
Express Check-In/Check-Out,"['Private check in/out', 'Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']"
Room Size:19 sq m(200 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Desk,"['Desk', 'Front desk']"
Grocery store,"['Grocery store', 'Grocery', 'Grocery/convenience store']"
Designated smoking areas (fines apply),"['Designated smoking areas (fines apply)', 'Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas']"
Ceiling fan,"['Ceiling fan', 'Ceiling Fan']"
Attached bathroom in all the rooms,"['Attached bathroom in all the rooms', 'Breakfast in the Room', 'Breakfast in the room', 'In room safe', 'Separate living room', 'Sofa in the room', 'In-room safe (some rooms)', 'Shared bathroom with sink in room', 'In-room safe']"
Pod docking station,['Pod docking station']
Central Air Conditioning,"['Central Air Conditioning', 'Air conditioning-Room', 'Air Conditioning', 'Air conditioning']"
Yoga,"['Yoga', 'Yoga Classes', 'Yoga Meditation Centre']"
Adventure activities,['Adventure activities']
Handicap accessible rooms,['Handicap accessible rooms']
Excursions,['Excursions']
Helipad,['Helipad']
Iron/ironing board,"['Iron/ironing board', 'Iron/ironing board (on request)', 'Iron/Iron board', 'Ironing Board', 'Iron/ironing board(on request)']"
Nightclub / DJ,['Nightclub / DJ']
24 hour room service,"['24 hour reception', 'Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service', '24-Hour Front Desk', 'Room Service, 24 Hour Reception', 'Room Service 6 Am - 12 Night', '24-hr Room Service', 'Room service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', '24 hour concierge', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', 'Room service(limited hours)', '24-hour Room Service']"
Half board rates available,"['Half board rates available', 'Full board rates available']"
Electronic Key,['Electronic Key']
Mountain biking,"['Mountain biking', 'Hiking/biking trails']"
Complimentary Airport/Railway Station Transfer,"['Complimentary Airport/Railway Station Transfer', 'Complimentary Airport/railway Station Transfer', 'Airport transportation (complimentary)', 'Railway Station Transfer', 'Airport Transfer', 'Airport/Railway Station Transfer', 'Airport transfer (complimentary)', 'Train station pickup (complimentary)']"
Room Service 24 Hrs,"['24 hour reception', 'Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service, 24 Hour Reception', '24-hr Room Service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room service(limited hours)', '24-hour Room Service']"
Intercom,"['Intercom', 'Intercom telephone', 'Buzzer / Intercom']"
LCD,"['LCD', 'LCD TV']"
Private spa tub,"['Private spa tub', 'Private spa pools', 'Spa tub', 'Spa']"
TVBathroom Toiletries,"['TVBathroom Toiletries', 'Complimentary toiletries', 'Bathroom Toiletries']"
Pool / Snooker Table,"['Pool / Snooker Table', 'Snooker room', 'Billiards/pool table', 'Pool Table', 'Pool table', 'Billiards or pool table', 'Snooker Table']"
Travel Desk,"['Travel Desk', 'Travel desk']"
Bushwalking,['Bushwalking']
Room Size:53 sq m(570 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Gas Stove,['Gas Stove']
Arrangements Of Kitty Parties & Birthday Party,['Arrangements Of Kitty Parties & Birthday Party']
Tennis Courts,"['Tennis Courts', 'Tennis', 'Tennis Court', 'Outdoor tennis court', 'Volleyball Court']"
Complimentary toiletries,"['TVBathroom Toiletries', 'Complimentary toiletries']"
Bonfire,['Bonfire']
Smoking rooms,"['Non-smoking rooms', 'Smoking rooms', 'Non-Smoking Rooms', 'Non-smoking rooms and areas', 'No smoking rooms']"
Shopping Close by,['Shopping Close by']
Shelves or drawer space for longer stays,['Shelves or drawer space for longer stays']
Rooftop terrace,"['Rooftop terrace', 'Terrace', 'Rooftop garden', 'Pool Terrace', 'Garden terrace']"
Furnished balcony,"['Furnished balcony', 'Balcony', 'Furnished patio', 'Furnished balcony or patio']"
Putting green,['Putting green']
High speed Internet access,"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'Wired (high-speed) Internet access - surcharge']"
Golf (nearby),"['Golf (nearby)', 'Golf', 'Tennis (nearby)']"
Piano,['Piano']
Limousine Service,"['Limousine Service', 'Limousine service available']"
Room Size:23 sq m(246 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Fire Place,['Fire Place']
Airport shuttle(surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Shuttle Service (surcharge)', 'Airport transportation (complimentary)', 'Airport Shuttle (free)', 'Cruise terminal shuttle (surcharge)', 'Airport transportation (surcharge)', 'Airport Shuttle', 'Airport transportation - drop-off (surcharge)', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']"
Safe-deposit box at front desk,['Safe-deposit box at front desk']
Airport transportation(surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport transportation (surcharge)', 'Airport transportation - drop-off (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']"
Housekeeping,['Housekeeping']
Fitness centre (nearby),"['Fitness centre (nearby)', 'Health and fitness centre', 'Fitness Centre', 'Fitness centre']"
Wake up call service on request,"['Wake up call service on request', 'Wake up call', 'Automatic telephone wake-up call service']"
Equipment hire,['Equipment hire']
Attached Bathroom,['Attached Bathroom']
Beach Shuttle Service,"['Shuttle Service', 'Beach Shuttle Service']"
Children's pool,"[""Children's pool"", 'Kids Pool', ""Children's Playground"", ""Children's play area"", ""Children's club"", ""Swimming pool - children's"", ""1 children's pool"", ""Children's Play Area""]"
Rooms Convertable into twin bedroom,['Rooms Convertable into twin bedroom']
Rowing,"['Rowing/canoeing', 'Rowing']"
24 hours front desk,"['Room service (24 hours)', '24 hours front desk', '24-Hour Front Desk', 'Front desk (limited hours)']"
