,similarity_scores_85
Bonefire,[]
Mini Refrigerator,['Mini Refrigerator']
Rock climbing,['Rock climbing']
Lobby in the guest house,"['Lobby in the guest house', 'Breakfast in the Room', 'Breakfast in the room', 'Firplace in lobby']"
Pest Control,['Pest Control']
Shoe cleaning service,"['Shoe cleaning service', 'Dry cleaning/laundry service', 'Dry Cleaning Service', 'Room cleaning service']"
Breakfast Buffet,"['Continental Breakfast', 'Breakfast Buffet', 'Breakfast Room', 'Breakfast buffet', 'breakfast', 'Restaurant (buffet)', 'Complimentary Breakfast', 'Continental breakfast']"
Valley view,"['River view', 'Valley view', 'Mountain view']"
Pool or Garden View,"['Pool View', 'Pool or Garden View', 'Garden View', 'Garden or Pool View', 'Pool view', 'Garden view']"
Balcony,"['Furnished balcony', 'Balcony', 'Furnished balcony or patio', 'Attached Balcony', 'Balcony or patio']"
Video Game Arcade,"['Video Game Arcade', 'Video-game console', 'Video Games', 'Arcade/game room']"
Breakfast in the Room,"['Attached bathroom in all the rooms', 'Lobby in the guest house', 'Breakfast in the Room', 'Living Room and Bed Room', 'Breakfast in the room', 'In room safe', 'Sofa in the room', 'Breakfast Room', 'In-room safe (some rooms)', 'In-room safe']"
Hairdryer,['Hairdryer']
Gymnasium/Health Club,"['Gymnasium/Health Club', 'Health Club']"
Assistance with luggage on request,['Assistance with luggage on request']
Car Rental Facility,"['Car Rental Facility', 'Car rental', 'Car rental facilities']"
Equipped Kitchenette,"['Equipped Kitchenette', 'Kitchenette']"
Tea/ Coffee Maker in the Rooms,"['Tea coffee maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
Well appointed bathrooms with high preassure hot and cold water and a complete range of toiletries,['Well appointed bathrooms with high preassure hot and cold water and a complete range of toiletries']
Complimentary reception,['Complimentary reception']
Snow boarding,['Snow boarding']
Microwave in lobby,['Microwave in lobby']
Executive services,['Executive services']
Indoor Swimming Pool,"['Swimming pools', 'Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']"
Outdoor Swimming Pool (seasonal),"['Swimming pools', 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']"
Bar/lounge,"['Poolside bar', 'Bar/lounge', 'Bar', 'Poolside Bar', 'Lounge']"
Wheelchair accessibility-Room,"['Wheelchair accessibility-Room', 'Wheelchair accessible']"
Supervised childcare/activities,"['Supervised childcare/activities (free)', 'Supervised childcare/activities', 'Supervised childcare/activities (surcharge)']"
Satellite T.v.,"['Satellite T.v.', 'Cable T V', 'Cable T.v']"
TV with satellite / Cable TV channels,"['Premium TV channels', 'Cable/satellite TV', 'Satellite TV service', 'TV with satellite / Cable TV channels', 'Satellite Television', 'Cable Tv', 'Cable TV service', 'TV', 'LCD television with multi channel cable', 'Satellite television', 'Satellite TV']"
Multi-lingual staff,['Multi-lingual staff']
Disabled facilities,"['Disabled facilities', 'Disabled Facilities', 'Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']"
Free secure outdoor parking,"['Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Parking(secure)', 'Secure outdoor parking (surcharge)', 'Secure parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
306 Sq Mt,['306 Sq Mt']
Reflexology,['Reflexology']
Cable T V,"['Satellite T.v.', 'Cable T V', 'Cable T.v']"
Room Size:44 sq m(474 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Rafting,['Rafting']
Allergy-free room,['Allergy-free room']
Garden View,"['Pool or Garden View', 'Garden View', 'Garden or Pool View', 'Garden view']"
Private plunge pool,"['Plunge pool', 'Private plunge pool', 'Plunge Pool', 'Private spa pools', 'Private Pool']"
Taxi service,"['Taxi service', 'Taxi Services']"
Driving range,['Driving range']
DVD Library,['DVD Library']
Living Room and Bed Room,"['Living Room', 'Breakfast in the Room', 'Living Room and Bed Room', 'Breakfast in the room', 'Separate living room', 'Sofa in the room', 'In-room safe (some rooms)', 'TVLiving Room', 'Separate dining room', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,']"
Reading lamps,['Reading lamps']
Satellite Television,"['Cable/satellite TV', 'Satellite TV service', 'TV with satellite / Cable TV channels', 'Satellite Television', 'Television', 'Satellite television', 'Satellite TV']"
Limo or Town Car service available,"['Limo or Town Car service available', 'House Car & Shuttle Service', 'Limousine service available']"
Parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Internet / Wifi,"['Free WiFi Internet Connectivity', 'Internet / Wifi', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Chargeable WiFi Internet Connectivity', 'Wifi EnabledFireplace', 'Free WiFi Internet', 'WiFi', 'WiFi Internet']"
Ballroom(s),['Ballroom(s)']
Camping,['Camping']
Restaurant (Ã  la carte),"['Restaurant (Ã\xa0 la carte)', 'Restaurant (à la carte)']"
Shaving & Dental Kit,['Shaving & Dental Kit']
Fireplace in lobby,"['Fireplace in lobby', 'Firplace in lobby']"
Free wired high-speed Internet,"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'High-speed broadband and wireless Internet access', 'Wired (high-speed) Internet access - surcharge']"
Travel agency facilities,['Travel agency facilities']
Free garage parking,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free outdoor parking', 'Parking garage', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
Bathrobes,['Bathrobes']
Teambuilding activities,['Teambuilding activities']
32'' LCD Flat-screen TV,"[""32'' LCD Flat-screen TV"", 'LCD TV', ""22'' LCD TV"", 'Flat-panel TV', 'LCD TV with Set', ""40'' LCD Flat screen TV""]"
24 hours power back-up,['24 hours power back-up']
Dancing,"['Dancing', 'Ballroom dancing']"
Aqua-guard/RO filtered water,['Aqua-guard/RO filtered water']
Airline desk,['Airline desk']
Television,"['Satellite Television', 'Television', 'Satellite television']"
Massage-treatment room(s),"['Massage - spa treatment room(s)', 'Massage-treatment room(s)', 'In-room massage available', 'Massage room']"
Board Room,['Board Room']
Ticket Service,"['Ticket Service', 'Ticket service']"
Beach volleyball,['Beach volleyball']
Spa services onsite - Free,"['Full-service health spa', 'Spa services on site', 'Spa services onsite - Free', 'Spa services nearby', 'Spa services']"
Shop,['Shop']
Room Size:51 sq m(548 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Baby sitting,['Baby sitting']
Tree house,['Tree house']
Cricket,['Cricket']
Spa & Wellness Centre,"['Spa & Wellness Centre', 'Spa/Massage/Wellness', 'Spa and wellness centre', 'Spa']"
VIP Room Facilities,"['VIP room facilities', 'VIP Room Facilities']"
Kids Pool,"[""Children's pool"", 'Kids Pool', ""Swimming pool - children's""]"
Chapel/Shrine,['Chapel/Shrine']
Vending machine,"['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']"
Furnished patio,"['Furnished balcony', 'Furnished patio', 'Patio-room', 'Furnished balcony or patio', 'Patio']"
Refrigerator-Room,"['Refrigerator', 'Refrigerator-Room', 'TVLiving Room']"
Fruit Basket On Request,['Fruit Basket On Request']
Microwave (on request),"['Microwave (on request)', 'Refrigerator (on request)']"
TVTelevision,[]
Bathtub only,"['Shower only', 'bathtub', 'Bathtub or shower', 'Bathtub only', 'Bathtub', 'Separate bathtub and shower']"
Hiking/biking trails,"['Mountain biking', 'Hiking/biking trails', 'Walking trails', 'Hiking']"
Cookies,['Cookies']
Hot water for 8 hours a day,"['Hot and cold running water available 24 hrs', 'Hot water for 8 hours a day', '24 Hour Doctor On Call.Hot/cold Water', '24-hrs Hot & Cold Water', '24-hr Hot & Cold Water']"
Separate bedroom,['Separate bedroom']
Kitchenette,"['Equipped Kitchenette', 'Kitchenette']"
Shopping arcade,"['Shopping arcade', 'Shopping Arcade']"
Toiletries in the Bathroom,"['Toiletries in the Bathroom', 'Bathroom Toiletries', 'Toiletries In The Bathroom']"
Bathtub,"['bathtub', 'Bathtub or shower', 'Bathtub only', 'Bathtub', 'Jetted bathtub', 'Jacuzzi Bathtub']"
Walking trails,"['Hiking/biking trails', 'Walking trails']"
Patio-room,"['Furnished patio', 'Patio-room', 'Furnished balcony or patio', 'TVLiving Room', 'Separate dining room', 'Patio', 'Balcony or patio']"
Bathroom telephone,"['Bathroom telephone', 'Bathroom phone', 'Telephone-Room']"
TVHot/cold Water,"['TVHot/cold Water', 'Hot & Cold water', 'Hot Water', 'hot water', 'Hot & Cold Running Water', 'Hot/cold Water', 'TVHot & Cold Running Water']"
Free breakfast,['Free breakfast']
Running track,['Running track']
Mini theatre,['Mini theatre']
TEA MAKER IN ROOM,"['Tea coffee maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
Sauna (Men only),"['Sauna (Men only)', 'Swimming pool (men only)']"
Banking services,"['Banking services', 'Business services']"
1 indoor pool (heated),"['1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Indoor Swimming Pool', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor']"
Bathrobe,['Bathrobe']
Swimming pool (men only),"['Outdoor Swimming Pool (all year)', 'Swimming pool', 'Swimming Pool', 'Sauna (Men only)', 'Swimming pool (men only)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)']"
Pots and Pans,['Pots and Pans']
Access to Club Lounge,"['Access to Business Club Lounge', 'Access to Club Lounge', 'Trident Club Lounge Access', 'Club Lounge Access', 'Business Club Lounge Access']"
Pillow menu,['Pillow menu']
Shuttle,"['Shuttle', 'Airport Shuttle']"
Live Entertainment,"['Live Entertainment', 'Live entertainment']"
Newspapers,['Newspapers']
Breakfast services,"['Breakfast services', 'Breakfast service']"
MP3 docking station,['MP3 docking station']
Golf,"['Golf (nearby)', 'Golf', 'Mini Golf']"
Âƒ,[]
Full-sevices health spa,"['Full-service health spa', 'Full-sevices health spa', 'Spa services']"
Local Expert Concierge,['Local Expert Concierge']
Boat hire,['Boat hire']
Super Market,['Super Market']
Dial-up Internet access (complimentary),"['Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-dial-up', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Internet access-complimentary']"
Chargeable WiFi Internet,"['Internet / Wifi', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Chargeable WiFi Internet Connectivity', 'WiFi Internet']"
Massage Centre,['Massage Centre']
Cultural shows,['Cultural shows']
Beach Nearby,"['Beach Nearby', 'Swimming (nearby)']"
Rollaway beds,"['Rollaway beds', 'Rollaway/extra beds available']"
Airport transportation free,"['Airport transportation(surcharge)', 'Airport transportation - drop-off (complimentary)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport Shuttle (free)', 'Airport transportation (surcharge)']"
ATM/Cash Machine on site,['ATM/Cash Machine on site']
Children's club (free),"[""Children's club (free)"", ""Children's club (surcharge)"", ""Children's club""]"
Conference center,['Conference center']
Books/Magazines,['Books/Magazines']
Rollaway/extra beds available,"['Rollaway beds', 'Rollaway/extra beds available']"
Chairs,"['Chairs', 'Deck chairs']"
Breakfast in the room,"['Attached bathroom in all the rooms', 'Lobby in the guest house', 'Breakfast in the Room', 'Living Room and Bed Room', 'Breakfast in the room', 'In room safe', 'Sofa in the room', 'Breakfast Room', 'In-room safe (some rooms)', 'In-room safe']"
Picnic area,"['Picnic area', 'Barbeque Area']"
Long-term parking (surcharge),"['Long-term parking (surcharge)', 'Free long-term parking', 'Covered parking (surcharge)', 'Self parking (surcharge)', 'Parking limited (surcharge)']"
Free international calls,"['Free local calls', 'Free international calls']"
Sea View,"['Sea view', 'Sea View', 'Ocean View', 'Ocean view']"
Badminton,['Badminton']
Shops in Hotel,['Shops in Hotel']
Garden or Pool View,"['Pool View', 'Pool or Garden View', 'Garden View', 'Garden or Pool View', 'Pool view', 'Garden view']"
Ski-in/ski-out,['Ski-in/ski-out']
Iron,"['Iron', 'Iron/Iron board']"
Beauty parlour,['Beauty parlour']
"Kitchen linens (dishtowels, sponges, etc.)","['Kitchen linens (dishtowels, sponges, etc.)']"
Breakfast service,"['Breakfast services', 'Breakfast service']"
Designated smoking area,"['Designated smoking areas (fines apply)', 'Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas']"
Babysitting or childcare (free),"['Babysitting or childcare (surcharge)', 'Babysitting or childcare (free)', 'Babysitting or childcare']"
Free long-distance calls,['Free long-distance calls']
Room Services 7 Am To 9 Pm,"['Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night']"
Room Service 6 Am - 12 Night,"['Room service (24 hours)', 'Room Service from  7:00 to  9:30', '24 hour room service', 'Room Service 7 Am To 9 Pm', 'Room Service, 24 Hour Reception', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night', 'Room Service from 7:00 to 9:30', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', '24-hour Room Service']"
Iron/ironing board (on request),"['Iron/ironing board', 'Iron/ironing board (on request)', 'Ironing Board', 'Iron/ironing board(on request)']"
HDTV,['HDTV']
Terrace,"['Rooftop terrace', 'Terrace', 'Sun Terrace', 'Pool Terrace', 'Garden terrace', 'Sun terrace']"
Beach view,['Beach view']
Sun Terrace,"['Terrace', 'Sun Terrace', 'Sun terrace']"
Makeup mirror,"['Makeup mirror', 'Makeup/shaving mirror']"
Up box.,['Up box.']
Washing Machine,['Washing Machine']
Non-smoking throughout,"['Non-smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only', 'Non-smoking rooms and areas']"
Non-Smoking Rooms,"['Non-smoking rooms', 'Smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only', 'Non-smoking rooms and areas', 'No smoking rooms']"
Board Games,['Board Games']
Soundproof rooms,"['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']"
Live entertainment,"['Live Entertainment', 'Live entertainment']"
Cordless Telephone,"['Cordless Telephone', 'Cordless phone']"
Film processing,['Film processing']
Free valet parking,"['Free parking nearby', 'Parking(free)', 'Valet parking', 'Free garage parking', 'Free valet parking', 'Parking(valet)', 'Valet parking (surcharge)', 'Valet Parking', 'Free secure parking', 'Free Parking', 'Parking (free)']"
Butler service,"['Butler Service', 'Butler service']"
Handheld showerhead,['Handheld showerhead']
In-room massage available,"['Massage-treatment room(s)', 'In-room massage available', 'Massage room']"
Cable Tv,"['Cable/satellite TV', 'TV with satellite / Cable TV channels', 'Cable Tv', 'Cable TV service', 'TV', 'LCD television with multi channel cable']"
AC/Heater,"['AC/Heater', 'AC / Heater']"
Meeting facilities size (meters) -,"['Meeting facilities size (feet) -', 'Meeting facilities size (meters) -']"
Free long-term parking,"['Parking(free)', 'Long-term parking (surcharge)', 'Free long-term parking', 'Free Parking', 'Parking (free)']"
Garage parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Parking garage', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Complimentary newspaper(M-F),['Complimentary newspaper(M-F)']
Secretarial services,"['Secretarial services', 'Secretarial Services']"
Babysitting or child care,"['Babysitting or child care', 'Babysitting or childcare', 'Babysitting/Child Services']"
Free secure covered parking,"['Secure covered parking (surcharge)', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Parking(secure)', 'Secure parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
Water Sports Facilities on site,['Water Sports Facilities on site']
Coffee shop or caf,"['Coffee shop or caf', 'Coffee Shop']"
Wi-Fi,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*']"
Room Size:56 sq m(602 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
LCD TV,"['LCD', ""32'' LCD Flat-screen TV"", 'LCD TV', ""22'' LCD TV"", 'TV', 'LCD TV with Set', ""40'' LCD Flat screen TV""]"
Bar,"['Bar/lounge', 'Bar', 'Restaurant/Bar', 'Snack Bar']"
Swimming pool - indoor,"['Swimming pools', 'Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']"
Outdoor activities,"['Outdoor activities', 'Outdoor Activities']"
Hypo-allergenic bedding,"['Hypo-allergenic bedding available', 'Hypo-allergenic bedding']"
Pure veg restaurant,"['Pure veg restaurant', 'Pure Veg']"
Restaurant,"['Restaurant', 'Restaurant/Bar', 'Restaurant (buffet)']"
Number of floors -,"['Number of floors -', 'Number of floors']"
Kite flying,['Kite flying']
ADSL Internet service,"['Internet Services', 'ADSL Internet service', 'Broadband Internet Connection', 'Broadband Internet']"
Table Tennis,"['Table tennis', 'Table Tennis', 'Play Area ( Table tennis, carrom, badminton, etc)']"
Airport transportation,"['Airport transportation(surcharge)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport transportation (surcharge)', 'Transportation', 'Airport Shuttle', 'Airport transportation - pickup (surcharge)']"
Safari,"['Camel safari', 'Safari', 'Jungle Safari', 'Jeep safari']"
Tea/coffee Maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
Handheld showers,['Handheld showers']
Direct dial phone,"['Direct dial phone', 'Direct-dial phone']"
Self parking,"['Self parking', 'Self parking (surcharge)', 'Free self parking']"
Bistro,['Bistro']
Modular Kitchen,['Modular Kitchen']
24 Hour Doctor On Call.Hot/cold Water,"['24 Hour Doctor On Call.', 'Hot and cold running water available 24 hrs', 'Hot water for 8 hours a day', '24 Hour Doctor On Call.Hot/cold Water', '24-hrs Hot & Cold Water', '24-hr Hot & Cold Water']"
In room safe,"['Attached bathroom in all the rooms', 'Breakfast in the Room', 'Breakfast in the room', 'In room safe', 'Sofa in the room', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'In-room safe']"
testing,['testing']
Power outlets at desk level (adapters available on request),['Power outlets at desk level (adapters available on request)']
Bowling,['Bowling']
king bed,"['King or Twin Beds', 'king bed', 'King or Twin Bed', 'King Bed', 'King / Twin Beds']"
Gift/souvenir shop,"['Gift/souvenir shop', 'Souvenirs/Gift Shop']"
Theme park shuttle (surcharge),"['Theme park shuttle (surcharge)', 'Theme park shuttle (complimentary)']"
Safety Deposit Lockers,"['Safety Deposit Lockers', 'Safety deposit box', 'Safety Deposit Box', 'Safe Deposit Locker']"
Connecting rooms,"['Connecting / adjoining rooms available', 'Connecting rooms']"
Ironing service,"['Laundry Service', 'Ironing service', 'Ironing Service']"
Barbeque Area,"['Picnic area', 'Barbeque Area']"
Pets Allowed,"['Pets Allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)', 'Pets allowed']"
